Generation	BestFitness	AverageFitness
1	2.45842110723678	2.40228734143618
2	2.45842110723678	2.43390182879717
3	2.45853200828232	2.44755657622295
4	2.45853200828232	2.45253393263923
5	2.45853200828232	2.455283269398
6	2.45853200828232	2.45623863256315
7	2.45975258048356	2.45681506436035
8	2.45975258048356	2.45636068978327
9	2.45975258048356	2.45636068978327
10	2.45975258048356	2.45636068978327
11	2.45975258048356	2.45636068978327
12	2.46086324373383	2.4569596991778
13	2.46086324373383	2.4564717561083
14	2.46086324373383	2.4564717561083
15	2.46086324373383	2.45891147145582
16	2.46086324373383	2.46037530066433
17	2.46230860633333	2.46115231625373
18	2.46230860633333	2.46100777999378
19	2.46230860633333	2.46100777999378
20	2.46230860633333	2.46100777999378
21	2.46230860633333	2.46100777999378
22	2.46230860633333	2.46100777999378
23	2.46230860633333	2.46100777999378
24	2.46230860633333	2.46100777999378
25	2.46230860633333	2.46100777999378
26	2.46230860633333	2.46100777999378
27	2.46230860633333	2.46100777999378
28	2.46230860633333	2.46100777999378
29	2.46230860633333	2.46100777999378
30	2.46230860633333	2.46115231625373
31	2.46230860633333	2.46100777999378
32	2.4642012596816	2.46153084692338
33	2.4642012596816	2.46119704532861
34	2.4642012596816	2.46153084692338
35	2.4642012596816	2.4617866805073
36	2.4642012596816	2.46145340974266
37	2.4642012596816	2.4615864177071
38	2.4642012596816	2.46119704532861
39	2.4642012596816	2.46167538318333
40	2.4642012596816	2.46214331476777
41	2.4642012596816	2.46265422674344
42	2.4642012596816	2.46216510908035
43	2.46475847628179	2.46415681630291
44	2.46475847628179	2.46425698134162
45	2.46475847628179	2.46360136337095
46	2.46475847628179	2.45915908426635
47	2.46475847628179	2.45583878428427
48	2.46475847628179	2.45748079840033
49	2.46475847628179	2.4547144975916
50	2.46475847628179	2.45748480360458
51	2.46475847628179	2.46036246161003
52	2.46475847628179	2.4616528585618
53	2.46475847628179	2.4616528585618
54	2.46475847628179	2.4616528585618
55	2.46475847628179	2.4616528585618
56	2.46475847628179	2.4616528585618
57	2.46475847628179	2.4616528585618
58	2.46475847628179	2.46199792719736
59	2.46475847628179	2.46441340764623
60	2.46475847628179	2.46475847628179
61	2.46475847628179	2.46475847628179
62	2.46475847628179	2.46475847628179
63	2.46475847628179	2.46475847628179
64	2.46620841949979	2.46591843085619
65	2.46620841949979	2.46606342517799
66	2.46620841949979	2.46606342517799
67	2.46620841949979	2.46618610157846
68	2.46620841949979	2.46620841949979
69	2.46620841949979	2.46620841949979
70	2.46620841949979	2.46620841949979
71	2.46620841949979	2.46620841949979
72	2.46620841949979	2.46620841949979
73	2.46620841949979	2.46620841949979
74	2.46620841949979	2.46606342517799
75	2.46620841949979	2.46586294504237
76	2.46620841949979	2.46566279077737
77	2.46620841949979	2.46293464716527
78	2.46620841949979	2.46307917036965
79	2.46620841949979	2.46368043015268
80	2.46654326407401	2.46085176058682
81	2.46654326407401	2.45409116737307
82	2.46654326407401	2.46006711065764
83	2.46654326407401	2.45589242178646
84	2.46654326407401	2.45709019026221
85	2.46654326407401	2.45834836641322
86	2.46654326407401	2.46198450451969
87	2.46698986497191	2.4635052048728
88	2.46698986497191	2.4647253388506
89	2.46698986497191	2.46567386175528
90	2.46698986497191	2.46669969661778
91	2.46698986497191	2.46669969661778
92	2.46698986497191	2.46585458029816
93	2.46698986497191	2.46698986497191
94	2.46698986497191	2.46698986497191
95	2.46698986497191	2.46698986497191
96	2.46698986497191	2.46698986497191
97	2.46698986497191	2.46698986497191
98	2.46698986497191	2.46698986497191
99	2.46698986497191	2.46698986497191
100	2.46698986497191	2.4668224729687
