Generation	BestFitness	AverageFitness
1	2.45936131063651	2.44117627902791
2	2.45936131063651	2.44222539078915
3	2.46039941988748	2.44373512854624
4	2.46039941988748	2.4506027256482
5	2.46039941988748	2.45202356555038
6	2.46039941988748	2.45257461704241
7	2.46039941988748	2.45210145956474
8	2.46331023697496	2.45544215656461
9	2.46331023697496	2.44991001007403
10	2.46331023697496	2.45100349907879
11	2.46331023697496	2.45275416441242
12	2.46331023697496	2.46171108835493
13	2.46331023697496	2.45708046257155
14	2.46331023697496	2.46055687414967
15	2.46331023697496	2.45899993538555
16	2.46331023697496	2.45050218403749
17	2.46364429496829	2.45508833490657
18	2.46364429496829	2.45087321067773
19	2.46364429496829	2.45928335893783
20	2.46364429496829	2.45918841286744
21	2.4650929272187	2.45874329637026
22	2.4650929272187	2.46061981111964
23	2.4650929272187	2.45949242724198
24	2.4650929272187	2.46099473077757
25	2.4650929272187	2.46130416004527
26	2.4650929272187	2.46138268294628
27	2.4650929272187	2.46134222034365
28	2.4650929272187	2.4626214386465
29	2.4650929272187	2.4603302821056
30	2.4650929272187	2.45985930278315
31	2.4650929272187	2.4614092207983
32	2.46587366582661	2.46257673057258
33	2.46587366582661	2.46463731510635
34	2.46587366582661	2.45855043945052
35	2.46587366582661	2.46587366582661
36	2.46587366582661	2.46587366582661
37	2.46654326407401	2.46600758547609
38	2.46654326407401	2.46594062565135
39	2.46654326407401	2.46577338503685
40	2.46654326407401	2.46594062565135
41	2.46654326407401	2.46600758547609
42	2.46654326407401	2.46540657906259
43	2.46654326407401	2.46604122433581
44	2.46654326407401	2.46584034486159
45	2.46654326407401	2.46124634677089
46	2.46654326407401	2.4603643123783
47	2.46654326407401	2.46654326407401
48	2.46654326407401	2.46654326407401
49	2.46654326407401	2.46607530752436
50	2.46821885175742	2.46687838161069
51	2.46821885175742	2.46607587467782
52	2.46821885175742	2.46664403668658
53	2.46821885175742	2.46654572200221
54	2.46821885175742	2.46821885175742
55	2.46821885175742	2.46821885175742
56	2.46821885175742	2.46821885175742
57	2.46821885175742	2.46821885175742
58	2.46821885175742	2.46780595124102
59	2.46821885175742	2.46768305256247
60	2.46821885175742	2.46821885175742
61	2.46821885175742	2.46821885175742
62	2.46821885175742	2.46821885175742
63	2.46821885175742	2.46821885175742
64	2.46821885175742	2.46807362101258
65	2.46821885175742	2.46821885175742
66	2.46821885175742	2.46821885175742
67	2.46821885175742	2.46821885175742
68	2.46821885175742	2.46821885175742
69	2.46821885175742	2.46821885175742
70	2.46821885175742	2.46821885175742
71	2.46821885175742	2.46821885175742
72	2.46821885175742	2.46059557656871
73	2.46821885175742	2.45757789269423
74	2.46821885175742	2.46302316904088
75	2.46821885175742	2.46675242414402
76	2.46821885175742	2.46720525866507
77	2.46821885175742	2.46780595124102
78	2.46821885175742	2.46821885175742
79	2.46821885175742	2.46821885175742
80	2.46821885175742	2.46821885175742
81	2.46821885175742	2.46821885175742
82	2.46821885175742	2.46821885175742
83	2.46821885175742	2.46821885175742
84	2.46821885175742	2.46821885175742
85	2.46821885175742	2.46811828918904
86	2.46821885175742	2.46821885175742
87	2.46821885175742	2.46821885175742
88	2.46821885175742	2.46821885175742
89	2.46821885175742	2.46695894833648
90	2.46821885175742	2.46756109708028
91	2.46821885175742	2.46821885175742
92	2.46821885175742	2.46821885175742
93	2.46821885175742	2.46821885175742
94	2.46821885175742	2.46821885175742
95	2.46821885175742	2.46497973388304
96	2.46821885175742	2.46766120585111
97	2.46821885175742	2.46821885175742
98	2.46821885175742	2.46821885175742
99	2.46821885175742	2.46821885175742
100	2.46821885175742	2.46821885175742
