Generation	BestFitness	AverageFitness
1	2.45864291933396	2.42190568920692
2	2.45864291933396	2.4277297772579
3	2.45864291933396	2.41850919994459
4	2.45864291933396	2.43716657785636
5	2.45864291933396	2.43897689460098
6	2.45864291933396	2.4388629653458
7	2.45864291933396	2.43623095308501
8	2.45864291933396	2.43916789679891
9	2.45864291933396	2.43916789679891
10	2.45864291933396	2.44133178819169
11	2.45864291933396	2.44349567958447
12	2.45864291933396	2.44130999568733
13	2.45864291933396	2.43962449127459
14	2.45864291933396	2.43218335318753
15	2.46412048418837	2.44186055771065
16	2.46412048418837	2.42701050154986
17	2.46412048418837	2.42701050154986
18	2.46412048418837	2.42701050154986
19	2.46412048418837	2.42820428290926
20	2.46412048418837	2.45339027285667
21	2.46412048418837	2.46412048418837
22	2.46412048418837	2.46341699695163
23	2.46412048418837	2.46412048418837
24	2.46412048418837	2.4637533762165
25	2.46412048418837	2.4583988144771
26	2.46412048418837	2.46081651244154
27	2.46412048418837	2.46081651244154
28	2.46534661303218	2.46142884618217
29	2.46534661303218	2.46150662613641
30	2.46534661303218	2.46093912532592
31	2.46534661303218	2.46093912532592
32	2.46534661303218	2.46130623329779
33	2.46534661303218	2.46130623329779
34	2.46534661303218	2.46130623329779
35	2.46534661303218	2.45904819233899
36	2.46534661303218	2.46142884618217
37	2.46534661303218	2.46089649947228
38	2.46534661303218	2.45953150584044
39	2.46534661303218	2.45666226217975
40	2.46534661303218	2.45865311524905
41	2.46534661303218	2.45983849306271
42	2.46534661303218	2.45279328118478
43	2.46534661303218	2.45990538794049
44	2.46534661303218	2.4596655912039
45	2.46534661303218	2.4608093239323
46	2.46534661303218	2.46091194741886
47	2.46534661303218	2.45770956236239
48	2.46534661303218	2.45448712856
49	2.46534661303218	2.45427770378245
50	2.46534661303218	2.46026291547987
51	2.46534661303218	2.45423928902447
52	2.46534661303218	2.44238666432889
53	2.46534661303218	2.43335478417815
54	2.46534661303218	2.43830735151289
55	2.46534661303218	2.43597242784585
56	2.46534661303218	2.43658295006145
57	2.46534661303218	2.44841277105986
58	2.46534661303218	2.45312489042275
59	2.46534661303218	2.45463115631638
60	2.46534661303218	2.45783837833871
61	2.46534661303218	2.4551696883041
62	2.46579278065642	2.45753438367016
63	2.46579278065642	2.45655355927045
64	2.46579278065642	2.45905544633612
65	2.46579278065642	2.46168376167647
66	2.46579278065642	2.46110713917607
67	2.46579278065642	2.46017230678541
68	2.46579278065642	2.4605516433094
69	2.46579278065642	2.46078083150601
70	2.46579278065642	2.46131800836514
71	2.46579278065642	2.45980316438168
72	2.46579278065642	2.46059150493002
73	2.46579278065642	2.46147366411017
74	2.46579278065642	2.46452434440769
75	2.46579278065642	2.46179785733445
76	2.46579278065642	2.45495643803726
77	2.46579278065642	2.46000887843591
78	2.46579278065642	2.46579278065642
79	2.46579278065642	2.46579278065642
80	2.46657396270947	2.46594901706703
81	2.46657396270947	2.46424227383428
82	2.46657396270947	2.46220746991647
83	2.46657396270947	2.46498544604415
84	2.46657396270947	2.46095655119785
85	2.46657396270947	2.45940972319602
86	2.46657396270947	2.46515305965011
87	2.46657396270947	2.46458601182624
88	2.46657396270947	2.46458601182624
89	2.46657396270947	2.46557998726786
90	2.46657396270947	2.46657396270947
91	2.46657396270947	2.46657396270947
92	2.46657396270947	2.46657396270947
93	2.46657396270947	2.46657396270947
94	2.46657396270947	2.46625065195713
95	2.46657396270947	2.46657396270947
96	2.46657396270947	2.46657396270947
97	2.46657396270947	2.4663508990367
98	2.46657396270947	2.46602817240707
99	2.46657396270947	2.46362194752469
100	2.46657396270947	2.46307615722229
