Generation	SPT	GA_BF	GA_AF	LBGA_BF	LBGA_AF	ALBGA_BF	ALBGA_AF
1	2.91771508110713	3.08116320978057	2.92633601342205	3.10599271374003	2.99786999717659	3.07715760975431	2.95873972746493
2	2.91771508110713	3.08116320978057	2.95011448816597	3.10599271374003	3.01401979262899	3.10661680879201	3.01097632587731
3	2.91771508110713	3.08116320978057	2.92105971844496	3.10599271374003	3.01979660582364	3.10732530560117	3.01455383487909
4	2.91771508110713	3.08325495548374	2.93405061703214	3.10599271374003	3.032652798258	3.10732530560117	3.00597184522986
5	2.91771508110713	3.08325495548374	2.96936489020278	3.11027346152035	3.03946541126683	3.10732530560117	3.00295190075893
6	2.91771508110713	3.08325495548374	2.9818079057947	3.11027346152035	3.04552647779291	3.10732530560117	3.00351442290415
7	2.91771508110713	3.08325495548374	2.99160666489167	3.11027346152035	3.07530877751224	3.10732530560117	3.00180255994012
8	2.91771508110713	3.08325495548374	2.97999943854711	3.11027346152035	3.08358538486545	3.10732530560117	3.04223529401543
9	2.91771508110713	3.08325495548374	2.97365329792473	3.11027346152035	3.08486120321712	3.11201394410652	3.04285141076506
10	2.91771508110713	3.08325495548374	2.99126338873843	3.11027346152035	3.0877558829095	3.11201394410652	3.06060600306223
11	2.91771508110713	3.08325495548374	2.99670932574241	3.11027346152035	3.09009205891515	3.11201394410652	3.06356676584698
12	2.91771508110713	3.08325495548374	2.99891629044655	3.11027346152035	3.09129413405684	3.11201394410652	3.06699560928457
13	2.91771508110713	3.08325495548374	3.00025289080453	3.11027346152035	3.08945162608456	3.11201394410652	3.06755502760689
14	2.91771508110713	3.08871556188412	2.99957214728842	3.11027346152035	3.08996307076937	3.11201394410652	3.06547847279052
15	2.91771508110713	3.08871556188412	2.99954365325484	3.11027346152035	3.08342625711496	3.11201394410652	3.06479868003184
16	2.91771508110713	3.08871556188412	2.99938081194094	3.11027346152035	3.08382791510602	3.11201394410652	3.06594499074546
17	2.91771508110713	3.08871556188412	2.99831996064454	3.11027346152035	3.08384935564662	3.11201394410652	3.06558358573391
18	2.91771508110713	3.08871556188412	2.99804090515363	3.11056192729276	3.08044208151497	3.11201394410652	3.06509626050441
19	2.91771508110713	3.08871556188412	2.99801314488448	3.11056192729276	3.08202344685742	3.11201394410652	3.06558397433973
20	2.91771508110713	3.08871556188412	3.01925024709414	3.11056192729276	3.08241231294553	3.11201394410652	3.06571496646367
21	2.91771508110713	3.08871556188412	3.0323654050139	3.1143746964199	3.08334011943685	3.11201394410652	3.06545546691229
22	2.91771508110713	3.08871556188412	3.03570797063951	3.1143746964199	3.08166188976142	3.11201394410652	3.06625215395421
23	2.91771508110713	3.08871556188412	3.03505760035649	3.1143746964199	3.08138422281949	3.11201394410652	3.06545912058381
24	2.91771508110713	3.08871556188412	3.03399215288851	3.1143746964199	3.08246155392231	3.11201394410652	3.06400387015148
25	2.91771508110713	3.08871556188412	3.03725327762862	3.1143746964199	3.08342843499247	3.11201394410652	3.06440629708262
26	2.91771508110713	3.08871556188412	3.03417547208717	3.1143746964199	3.08380358038727	3.11201394410652	3.06686548300295
27	2.91771508110713	3.08871556188412	3.03612484819671	3.1143746964199	3.08096485211109	3.11201394410652	3.06978906247735
28	2.91771508110713	3.08871556188412	3.03498136416098	3.1143746964199	3.08023668394403	3.11201394410652	3.06694309778094
